Table 1 - Investments other than derivatives,,,,,,,,,,,,
Portfolio Holdings Information for:,Future Fund,,,,,,,,,,,
Reporting Date: ,31/12/2025,,,,,,,,,,,
,,,,,,,,,,,,
Asset Class,Internally or Externally Managed,Name of Institution,Name of Issuer / Counterparty,Name / Investment Item,Name of Investment Manager,Currency,Security Identifier,% Ownership, Units Held ,Value (AUD),Weighting (%),
Listed Equity,,,,Eli Lilly & Co.,,,2516152,,"285,488","460,085,842",0.17%,
Listed Equity,,,,Elia Group SA/NV,,,B09M9F4,,"10,500","2,028,628",0.00%,
Listed Equity,,,,Elisa Oyj,,,5701513,,"120,531","8,011,376",0.00%,
Listed Equity,,,,Elm Co. (Saudi Arabia),,,BNYDSH8,,"8,346","2,495,904",0.00%,
Listed Equity,,,,Emaar Development PJSC,,,BDG1977,,"715,058","4,422,997",0.00%,
Listed Equity,,,,Emaar Properties PJSC,,,B01RM25,,"7,669,373","43,994,554",0.02%,
Listed Equity,,,,Embassy Office Parks REIT,,,BJH4V15,,"181,238","1,316,344",0.00%,
Listed Equity,,,,"EMCOR Group, Inc.",,,2474164,,"33,770","30,981,702",0.01%,
Listed Equity,,,,"Emera, Inc.",,,2650050,,"210,671","15,589,133",0.01%,
Listed Equity,,,,Emerald Resources NL,,,6107381,,"1,007,737","6,368,898",0.00%,
Listed Equity,,,,Emerson Electric Co.,,,2313405,,"239,827","47,731,633",0.02%,
Listed Equity,,,,Emirates NBD Bank PJSC,,,B28PFX8,,"1,979,461","22,507,895",0.01%,
Listed Equity,,,,Emirates Telecommunications Group Co. PJSC,,,6322173,,"1,276,296","9,556,821",0.00%,
Listed Equity,,,,Empire Co. Ltd.,,,2314000,,"183,276","9,567,966",0.00%,
Listed Equity,,,,EMS-Chemie Holding AG,,,7635610,,"7,708","8,017,132",0.00%,
Listed Equity,,,,"Enbridge, Inc.",,,2466149,,"845,607","60,759,658",0.02%,
Listed Equity,,,,Endeavour Group Ltd. (Australia),,,BNVS144,,"14,325,857","52,432,637",0.02%,
Listed Equity,,,,Endeavour Mining Plc,,,BL6K5J4,,"146,253","11,422,218",0.00%,
Listed Equity,,,,Endesa SA,,,5271782,,"218,175","11,769,511",0.00%,
Listed Equity,,,,Enel Américas SA,,,2299453,,"12,060,215","1,718,316",0.00%,
Listed Equity,,,,Enel Chile SA,,,BYMLZD6,,"94,028,573","11,571,852",0.00%,
Listed Equity,,,,Enel SpA,,,7144569,,"4,490,063","70,198,059",0.03%,
Listed Equity,,,,"ENEOS Holdings, Inc.",,,B627LW9,,"1,553,500","16,452,694",0.01%,
Listed Equity,,,,Energisa SA,,,B56XQT8,,"20,597","265,825",0.00%,
Listed Equity,,,,ENGIE Brasil Energia SA,,,BD1WX84,,"48,527","417,755",0.00%,
Listed Equity,,,,ENGIE SA,,,B0C2CQ3,,"1,425,680","56,269,151",0.02%,
Listed Equity,,,,Eni SpA,,,7145056,,"1,673,653","47,574,628",0.02%,
Listed Equity,,,,Entain Plc,,,B5VQMV6,,"293,688","4,541,144",0.00%,
Listed Equity,,,,"Entegris, Inc.",,,2599700,,"41,513","5,244,763",0.00%,
Listed Equity,,,,Entergy Corp.,,,2317087,,"194,794","26,999,789",0.01%,
Listed Equity,,,,"EOG Resources, Inc.",,,2318024,,"357,395","56,279,597",0.02%,
Listed Equity,,,,Epiroc AB,,,BMD58W3,,"294,281","8,937,252",0.00%,
Listed Equity,,,,Epiroc AB,,,BMD58R8,,"535,939","18,298,911",0.01%,
Listed Equity,,,,EQT AB,,,BJ7W9K4,,"266,900","15,794,603",0.01%,
Listed Equity,,,,EQT Corp.,,,2319414,,"158,489","12,739,012",0.00%,
Listed Equity,,,,"Equifax, Inc.",,,2319146,,"33,070","10,760,334",0.00%,
Listed Equity,,,,"Equinix, Inc.",,,BVLZX12,,"8,731","10,031,256",0.00%,
Listed Equity,,,,Equinor ASA,,,7133608,,"554,758","19,546,464",0.01%,
Listed Equity,,,,"Equitable Holdings, Inc.",,,BKRMR96,,"137,202","9,803,817",0.00%,
Listed Equity,,,,"Equity LifeStyle Properties, Inc.",,,2563125,,"16,962","1,554,776",0.00%,
Listed Equity,,,,Equity Residential,,,2319157,,"123,200","11,646,589",0.00%,
Listed Equity,,,,Erie Indemnity Co.,,,2311711,,"15,256","6,557,895",0.00%,
Listed Equity,,,,Erste Group Bank AG,,,5289837,,"169,149","30,654,290",0.01%,
Listed Equity,,,,"Essential Utilities, Inc.",,,BLCF3J9,,"107,527","6,185,403",0.00%,
Listed Equity,,,,"Essex Property Trust, Inc.",,,2316619,,"31,671","12,428,083",0.00%,
Listed Equity,,,,EssilorLuxottica SA,,,7212477,,"136,343","64,810,023",0.02%,
Listed Equity,,,,Essity AB,,,BF1K7P7,,"340,265","14,678,722",0.01%,
Listed Equity,,,,Etihad Etisalat Co.,,,B12LR51,,"902,030","23,801,967",0.01%,
Listed Equity,,,,Eurobank SA,,,BW9DW63,,"2,793,581","16,851,101",0.01%,
Listed Equity,,,,Eurofins Scientific SE,,,BNDPYV1,,"63,687","6,999,094",0.00%,
Listed Equity,,,,Euronext NV,,,BNBNSG0,,"27,422","6,181,808",0.00%,
Listed Equity,,,,EVA Airways Corp.,,,6186023,,"9,343,000","16,297,931",0.01%,
Listed Equity,,,,Everest Group Ltd.,,,2556868,,"37,738","19,204,304",0.01%,
Listed Equity,,,,Eversource Energy,,,BVVN4Q8,,"160,608","16,216,146",0.01%,
Listed Equity,,,,Evolution AB,,,BJXSCH4,,"121,416","12,438,730",0.00%,
Listed Equity,,,,Evolution Mining Ltd.,,,B3X0F91,,"25,155,889","318,976,673",0.12%,
Listed Equity,,,,Evonik Industries AG,,,B5ZQ9D3,,"270,649","6,368,239",0.00%,
Listed Equity,,,,EVT Ltd.,,,BDG0N49,,"241,931","3,038,653",0.00%,
Listed Equity,,,,Exelon Corp.,,,2670519,,"454,258","29,693,494",0.01%,
Listed Equity,,,,EXOR NV,,,BMJ1825,,"57,144","7,291,476",0.00%,
Listed Equity,,,,Expand Energy Corp.,,,BMZ5LZ5,,"62,971","10,421,353",0.00%,
Listed Equity,,,,"Expedia Group, Inc.",,,B748CK2,,"101,231","43,007,805",0.02%,
Listed Equity,,,,"Expeditors International of Washington, Inc.",,,2325507,,"90,980","20,329,804",0.01%,
Listed Equity,,,,Experian Plc,,,B19NLV4,,"758,766","51,468,916",0.02%,
Listed Equity,,,,"Extra Space Storage, Inc.",,,B02HWR9,,"18,353","3,583,906",0.00%,
Listed Equity,,,,Exxon Mobil Corp.,,,2326618,,"1,182,742","213,438,063",0.08%,
Listed Equity,,,,"F&G Annuities & Life, Inc.",,,BM9XCN0,,"7,251","335,437",0.00%,
Listed Equity,,,,"F5, Inc.",,,2427599,,"60,527","23,168,812",0.01%,
Listed Equity,,,,Fair Isaac Corp.,,,2330299,,"6,622","16,788,312",0.01%,
Listed Equity,,,,Fairfax Financial Holdings Ltd.,,,2566351,,"17,928","51,305,619",0.02%,
Listed Equity,,,,Falabella SA,,,2771672,,"2,141,669","22,385,073",0.01%,
Listed Equity,,,,FANUC Corp.,,,6356934,,"528,075","30,737,105",0.01%,
Listed Equity,,,,Far Eastern New Century Corp.,,,6331470,,"9,241,798","12,261,963",0.00%,
Listed Equity,,,,"Far EasTone Telecommunications Co., Ltd.",,,6421854,,"371,930","1,567,403",0.00%,
Listed Equity,,,,"Fast Retailing Co., Ltd.",,,6332439,,"148,827","81,073,204",0.03%,
Listed Equity,,,,Fastenal Co.,,,2332262,,"732,662","44,090,464",0.02%,
Listed Equity,,,,Fastighets AB Balder,,,BPMRNZ9,,"341,518","3,788,745",0.00%,
Listed Equity,,,,FDJ United,,,BG0SC10,,"90,249","3,754,298",0.00%,
Listed Equity,,,,FedEx Corp.,,,2142784,,"179,629","78,200,637",0.03%,
Listed Equity,,,,"Ferguson Enterprises, Inc.",,,BS6VHW3,,"115,200","38,459,888",0.01%,
Listed Equity,,,,Ferrari NV,,,BD6G507,,"106,029","59,513,183",0.02%,
Listed Equity,,,,Ferrovial SE,,,BRS7CF0,,"185,021","18,032,944",0.01%,
Listed Equity,,,,Fibra Uno Administración SA de CV,,,B671GT8,,"7,228,115","16,271,297",0.01%,
Listed Equity,,,,"Fidelity National Financial, Inc.",,,BNBRDD4,,"120,846","9,892,754",0.00%,
Listed Equity,,,,"Fidelity National Information Services, Inc.",,,2769796,,"174,794","17,420,423",0.01%,
Listed Equity,,,,Fifth Third Bancorp,,,2336747,,"326,954","23,146,882",0.01%,
Listed Equity,,,,Financière de Tubize SA,,,B0BN7W8,,"8,222","3,026,427",0.00%,
Listed Equity,,,,FinecoBank SpA,,,BNGN9Z1,,"469,994","18,376,032",0.01%,
Listed Equity,,,,First Abu Dhabi Bank PJSC,,,6624471,,"2,144,041","15,266,599",0.01%,
Listed Equity,,,,"First Citizens BancShares, Inc. (North Carolina)",,,2355582,,"2,473","7,959,066",0.00%,
Listed Equity,,,,"First Financial Holding Co., Ltd.",,,6580119,,"9,545,603","13,393,974",0.00%,
Listed Equity,,,,First Quantum Minerals Ltd.,,,2347608,,"329,583","13,268,634",0.00%,
Listed Equity,,,,"First Solar, Inc.",,,B1HMF22,,"96,723","37,890,004",0.01%,
Listed Equity,,,,FirstEnergy Corp.,,,2100920,,"158,229","10,622,947",0.00%,
Listed Equity,,,,FirstRand Ltd.,,,6606996,,"1,457,759","11,972,413",0.00%,
Listed Equity,,,,FirstService Corp.,,,BJMKSJ5,,"26,066","6,097,481",0.00%,
Listed Equity,,,,"Fiserv, Inc.",,,2342034,,"307,776","31,001,445",0.01%,
Listed Equity,,,,Fisher & Paykel Healthcare Corp. Ltd.,,,6340250,,"473,432","15,411,752",0.01%,
Listed Equity,,,,Flex Ltd.,,,2353058,,"312,952","28,355,042",0.01%,
Listed Equity,,,,Flight Centre Travel Group Ltd.,,,6352147,,"2,347,297","35,232,928",0.01%,
Listed Equity,,,,Flutter Entertainment Plc,,,BWZMZF4,,"61,027","19,679,457",0.01%,
Listed Equity,,,,Fomento Economico Mexicano SAB de CV,,,2242059,,"3,950,413","59,920,292",0.02%,
Listed Equity,,,,Ford Motor Co.,,,2615468,,"5,166,722","101,653,134",0.04%,
Listed Equity,,,,Fortescue Ltd.,,,6086253,,"20,439,999","449,884,378",0.17%,
Listed Equity,,,,"Fortinet, Inc.",,,B5B2106,,"478,859","57,023,608",0.02%,
Listed Equity,,,,Fortis Healthcare Ltd.,,,B1XC098,,"272,721","4,022,375",0.00%,
Listed Equity,,,,"Fortis, Inc.",,,2347200,,"399,407","31,180,575",0.01%,
Listed Equity,,,,Fortive Corp.,,,BYT3MK1,,"206,076","17,061,492",0.01%,
Listed Equity,,,,Fortum Oyj,,,5579550,,"248,577","7,959,051",0.00%,
Listed Equity,,,,Fosun International Ltd.,,,B1Z7FX0,,"1,169,000","986,474",0.00%,
Listed Equity,,,,Fox Corp.,,,BJJMGY5,,"101,298","9,863,206",0.00%,
Listed Equity,,,,Fox Corp.,,,BJJMGL2,,"196,667","21,549,760",0.01%,
Listed Equity,,,,"Foxconn Technology Co., Ltd.",,,6801779,,"345,000","1,015,928",0.00%,
Listed Equity,,,,Franco-Nevada Corp.,,,B29NF31,,"119,421","37,169,939",0.01%,
Listed Equity,,,,"Freeport-McMoRan, Inc.",,,2352118,,"391,286","29,801,928",0.01%,
Listed Equity,,,,Fresenius Medical Care AG,,,5129074,,"208,603","14,974,805",0.01%,
Listed Equity,,,,Fresenius SE & Co. KGaA,,,4352097,,"437,454","37,736,153",0.01%,
Listed Equity,,,,Fresnillo Plc,,,B2QPKJ1,,"215,558","14,495,728",0.01%,
Listed Equity,,,,"Fubon Financial Holding Co., Ltd.",,,6411673,,"914,051","4,192,302",0.00%,
Listed Equity,,,,"Fuji Electric Co., Ltd.",,,6356365,,"82,500","9,352,989",0.00%,
Listed Equity,,,,FUJIFILM Holdings Corp.,,,6356525,,"984,100","31,483,546",0.01%,
Listed Equity,,,,Fujikura Ltd.,,,6356707,,"199,800","33,336,508",0.01%,
Listed Equity,,,,Fujitsu Ltd.,,,6356945,,"1,190,000","49,284,765",0.02%,
Listed Equity,,,,Futu Holdings Ltd.,,,BGK4T39,,"45,938","11,312,108",0.00%,
Listed Equity,,,,GAIL (India) Ltd.,,,6133405,,"6,580,994","18,903,204",0.01%,
Listed Equity,,,,Galaxy Entertainment Group Ltd.,,,6465874,,"1,798,000","13,274,314",0.00%,
Listed Equity,,,,Galderma Group AG,,,BRC2T72,,"55,306","16,969,337",0.01%,
Listed Equity,,,,Galp Energia SGPS SA,,,B1FW751,,"328,371","8,460,881",0.00%,
Listed Equity,,,,"Gaming & Leisure Properties, Inc.",,,BFPK4S5,,"154,547","10,357,210",0.00%,
Listed Equity,,,,Garmin Ltd.,,,B3Z5T14,,"137,569","41,847,299",0.02%,
Listed Equity,,,,"Gartner, Inc.",,,2372763,,"36,642","13,862,254",0.01%,
Listed Equity,,,,Gazprom PJSC,,,B59L4L7,,"10,920,300",0,0.00%,
Listed Equity,,,,Gazprom PJSC,,,4364928,,"4,670,923",0,0.00%,
Listed Equity,,,,"G-Bits Network Technology (Xiamen) Co., Ltd.",,,BYZQW37,,"25,800","2,349,370",0.00%,
Listed Equity,,,,GE Aerospace,,,BL59CR9,,"310,649","143,662,061",0.05%,
Listed Equity,,,,"GE Healthcare Technologies, Inc.",,,BL6JPG8,,"210,246","25,859,454",0.01%,
Listed Equity,,,,"GE Vernova, Inc.",,,BP6H4Y1,,"88,667","86,901,239",0.03%,
Listed Equity,,,,GEA Group AG,,,4557104,,"141,305","14,384,402",0.01%,
Listed Equity,,,,Geberit AG,,,B1WGG93,,"31,564","37,018,008",0.01%,
Listed Equity,,,,Gecina SA,,,7742468,,"26,458","3,769,745",0.00%,
Listed Equity,,,,Geely Automobile Holdings Ltd.,,,6531827,,"6,426,000","22,161,067",0.01%,
Listed Equity,,,,"Gen Digital, Inc.",,,BJN4XN5,,"350,600","14,295,290",0.01%,
Listed Equity,,,,General Dynamics Corp.,,,2365161,,"185,752","93,777,114",0.03%,
Listed Equity,,,,"General Mills, Inc.",,,2367026,,"150,197","10,473,361",0.00%,
Listed Equity,,,,General Motors Co.,,,B665KZ5,,"1,758,616","214,457,004",0.08%,
Listed Equity,,,,Generation Development Group Ltd.,,,BF42CQ6,,"659,303","3,883,295",0.00%,
Listed Equity,,,,Genesis Minerals Ltd.,,,B23G0X1,,"9,879,289","71,624,845",0.03%,
Listed Equity,,,,"GeniuS Electronic Optical Co., Ltd.",,,B059SR4,,"220,000","4,719,664",0.00%,
Listed Equity,,,,Genmab A/S,,,4595739,,"51,977","24,843,169",0.01%,
Listed Equity,,,,Gentera SAB de CV,,,BHWQZW1,,"1,570,200","6,034,783",0.00%,
Listed Equity,,,,Genuine Parts Co.,,,2367480,,"37,110","6,900,006",0.00%,
Listed Equity,,,,George Weston Ltd.,,,2956662,,"112,675","11,708,725",0.00%,
Listed Equity,,,,Gerdau SA,,,2645517,,"1,969,986","10,992,373",0.00%,
Listed Equity,,,,Getac Holdings Corp.,,,6439620,,"578,000","3,227,546",0.00%,
Listed Equity,,,,Getlink SE,,,B292JQ9,,"115,301","3,194,245",0.00%,
Listed Equity,,,,"GFL Environmental, Inc.",,,BKDT649,,"170,966","11,027,596",0.00%,
Listed Equity,,,,"Gildan Activewear, Inc.",,,2254645,,"123,186","11,561,432",0.00%,
Listed Equity,,,,"Gilead Sciences, Inc.",,,2369174,,"529,733","97,502,329",0.04%,
Listed Equity,,,,Givaudan SA,,,5980613,,"5,404","32,179,824",0.01%,
Listed Equity,,,,Gjensidige Forsikring ASA,,,B4PH0C5,,"174,321","7,826,596",0.00%,
Listed Equity,,,,GlaxoSmithKline Pharmaceuticals Ltd.,,,6117982,,"73,932","3,051,221",0.00%,
Listed Equity,,,,Glenmark Pharmaceuticals Ltd.,,,6698755,,"443,122","15,046,728",0.01%,
Listed Equity,,,,"Global Payments, Inc.",,,2712013,,"149,438","17,344,982",0.01%,
Listed Equity,,,,GMR Airports Ltd.,,,B192HJ1,,"27,199,995","47,364,852",0.02%,
Listed Equity,,,,"GoDaddy, Inc.",,,BWFRFC6,,"37,940","7,059,451",0.00%,
Listed Equity,,,,Gold Fields Ltd.,,,6280215,,"233,845","15,358,207",0.01%,
Listed Equity,,,,Gold Fields Ltd.,,,2416326,,"675,768","44,243,879",0.02%,
Listed Equity,,,,Grab Holdings Ltd. (Singapore),,,BP6NH40,,"1,329,850","9,951,191",0.00%,
Listed Equity,,,,"Graco, Inc.",,,2380443,,"122,315","15,035,106",0.01%,
Listed Equity,,,,GrainCorp Ltd.,,,6102331,,"2,247,144","16,134,494",0.01%,
Listed Equity,,,,Grasim Industries Ltd.,,,BYQKH33,,"175,452","8,281,384",0.00%,
Listed Equity,,,,Great Eastern Shipping Co. Ltd.,,,B1GKL41,,"218,233","4,110,797",0.00%,
Listed Equity,,,,"Great Wall Motor Co., Ltd.",,,6718255,,"2,779,000","8,191,754",0.00%,
Listed Equity,,,,"Great-West Lifeco, Inc.",,,2384951,,"237,544","17,590,662",0.01%,
Listed Equity,,,,"Gree Electric Appliances, Inc. of Zhuhai",,,BD5CPN9,,"1,233,842","10,661,570",0.00%,
Listed Equity,,,,Grifols SA,,,BYY3DX6,,"222,126","4,185,907",0.00%,
Listed Equity,,,,Grifols SA,,,B8K7T65,,"10,438","146,353",0.00%,
Listed Equity,,,,Grifols SA,,,BYP0K57,,"2,061","28,385",0.00%,
Listed Equity,,,,Groupe Bruxelles Lambert SA,,,7097328,,"48,311","6,462,198",0.00%,
Listed Equity,,,,Growthpoint Properties Ltd.,,,BBGB5W0,,"2,274,635","3,532,469",0.00%,
Listed Equity,,,,Gruma SAB de CV,,,2392545,,"155,570","4,025,482",0.00%,
Listed Equity,,,,Grupa Kety SA,,,5216385,,"2,912","1,109,555",0.00%,
Listed Equity,,,,Grupo Aeroportuario del Pacífico SAB de CV,,,B0ZV104,,"1,689,495","66,660,316",0.02%,
Listed Equity,,,,Grupo Aeroportuario del Sureste SA de CV,,,2639349,,"73,875","3,568,661",0.00%,
Listed Equity,,,,Grupo Aeroportuario del Sureste SA de CV,,,2639361,,"8,470","4,107,667",0.00%,
Listed Equity,,,,Grupo Bimbo SAB de CV,,,2392471,,"140,858","694,561",0.00%,
Listed Equity,,,,Grupo Carso SAB de CV,,,2393452,,"77,325","760,633",0.00%,
Listed Equity,,,,Grupo Cibest SA,,,BTPR2M4,,"111,644","2,651,157",0.00%,
Listed Equity,,,,Grupo Cibest SA,,,BP6QXH4,,"186,307","5,117,865",0.00%,
Listed Equity,,,,Grupo Cibest SA,,,BSJN3Y0,,"50,213","4,789,756",0.00%,
Listed Equity,,,,Grupo Financiero Banorte SAB de CV,,,2421041,,"4,158,881","57,907,009",0.02%,
Listed Equity,,,,Grupo México S.A.B. de C.V.,,,2643674,,"3,044,530","43,175,765",0.02%,
Listed Equity,,,,GS Holdings Corp.,,,B01RJV3,,"143,449","8,407,162",0.00%,
Listed Equity,,,,GSK Plc,,,BN7SWP6,,"4,337,369","160,992,304",0.06%,
Listed Equity,,,,"GT Capital Holdings, Inc.",,,B77H110,,"42,370","642,584",0.00%,
Listed Equity,,,,Guangdong Investment Ltd.,,,6913168,,"650,000","850,315",0.00%,
Listed Equity,,,,"Gulf Development Public Co., Ltd.",,,BMTQG26,,"1,402,157","2,786,413",0.00%,
Listed Equity,,,,"Gulf Development Public Co., Ltd.",,,BMY3G88,,"2,000,900","3,976,255",0.00%,
Listed Equity,,,,"Guotai Haitong Securities Co., Ltd.",,,BYQDMZ9,,"380,000","1,677,703",0.00%,
Listed Equity,,,,"Guoyuan Securities Co., Ltd.",,,BD5CNY6,,"1,651,000","2,961,782",0.00%,
Listed Equity,,,,Guzman y Gomez Ltd.,,,BSLTT82,,"93,843","2,031,701",0.00%,
Listed Equity,,,,H&M Hennes & Mauritz AB,,,5687431,,"278,792","8,430,574",0.00%,
Listed Equity,,,,Haci Ömer Sabanci Holding AS,,,B03N0C7,,"563,884","1,658,161",0.00%,
Listed Equity,,,,"Haier Smart Home Co., Ltd.",,,BP3R3G9,,"146,700","822,288",0.00%,
Listed Equity,,,,"Haier Smart Home Co., Ltd.",,,BLD4QD0,,"212,600","994,509",0.00%,
Listed Equity,,,,Haitian International Holdings Ltd.,,,B1L2RC2,,"1,314,000","5,609,989",0.00%,
Listed Equity,,,,Haleon Plc,,,BMX86B7,,"4,942,831","37,366,777",0.01%,
Listed Equity,,,,Halliburton Co.,,,2405302,,"386,991","16,400,038",0.01%,
Listed Equity,,,,Halma Plc,,,0405207,,"289,629","20,724,815",0.01%,
Listed Equity,,,,"Hana Financial Group, Inc.",,,B0RNRF5,,"305,475","29,923,253",0.01%,
Listed Equity,,,,Hang Seng Bank Ltd.,,,6408374,,"562,600","16,638,149",0.01%,
Listed Equity,,,,HANJIN KAL Corp.,,,BCGD8Q8,,"11,070","1,428,936",0.00%,
Listed Equity,,,,"HANKOOK TIRE & TECHNOLOGY Co., Ltd.",,,B7T5KQ0,,"60,641","3,680,259",0.00%,
Listed Equity,,,,"Hankyu Hanshin Holdings, Inc.",,,6408664,,"104,400","3,938,269",0.00%,
Listed Equity,,,,"Hanmi Pharmaceutical Co., Ltd.",,,B613DJ9,,"3,965","1,865,628",0.00%,
Listed Equity,,,,Hannover Rück SE,,,4511809,,"45,122","21,154,504",0.01%,
Listed Equity,,,,Hansen Technologies Ltd.,,,6243252,,"4,338,887","22,909,323",0.01%,
Listed Equity,,,,"Hansoh Pharmaceutical Group Co., Ltd.",,,BJYKB72,,"2,160,000","15,014,718",0.01%,
Listed Equity,,,,"Hanwha Ocean Co., Ltd.",,,6211732,,"80,759","9,550,207",0.00%,
Listed Equity,,,,Harmony Gold Mining Co. Ltd.,,,6410562,,"711,140","21,693,890",0.01%,
Listed Equity,,,,Harvey Norman Holdings Ltd.,,,6173508,,"8,861,043","61,495,638",0.02%,
Listed Equity,,,,Havells India Ltd.,,,BQGZWP9,,"111,775","2,657,301",0.00%,
Listed Equity,,,,"HCA Healthcare, Inc.",,,B4MGBG6,,"67,304","47,119,360",0.02%,
Listed Equity,,,,HCL Technologies Ltd.,,,6294896,,"1,110,479","30,076,051",0.01%,
Listed Equity,,,,"HD HYUNDAI Co., Ltd.",,,BD4HFT1,,"79,472","15,594,412",0.01%,
Listed Equity,,,,"HD Hyundai Electric Co., Ltd.",,,BD4HFR9,,"34,408","27,723,234",0.01%,
Listed Equity,,,,"HD Korea Shipbuilding & Offshore Engineering Co., Ltd.",,,6446620,,"27,765","11,763,474",0.00%,
Listed Equity,,,,HDFC Asset Management Co. Ltd.,,,BG0R3M5,,"327,750","14,612,460",0.01%,
Listed Equity,,,,HDFC Bank Ltd.,,,BK1N461,,"10,456,688","172,928,717",0.06%,
Listed Equity,,,,HDFC Bank Ltd.,,,2781648,,"526,949","28,874,134",0.01%,
Listed Equity,,,,"Healthpeak Properties, Inc.",,,BJBLRK3,,"173,802","4,190,952",0.00%,
Listed Equity,,,,HEICO Corp.,,,2237561,,"6,731","2,547,959",0.00%,
Listed Equity,,,,HEICO Corp.,,,2419217,,"3,898","1,891,511",0.00%,
Listed Equity,,,,Heidelberg Materials AG,,,5120679,,"89,404","35,113,026",0.01%,
Listed Equity,,,,Heineken Holding NV,,,B0CCH46,,"83,706","9,199,148",0.00%,
Listed Equity,,,,Heineken NV,,,7792559,,"153,597","18,865,622",0.01%,
Listed Equity,,,,Helia Group Ltd.,,,BP5HL07,,"3,173,358","17,453,469",0.01%,
Listed Equity,,,,Hellenic Telecommunications Organization SA,,,5051605,,"47,159","1,400,324",0.00%,
Listed Equity,,,,Helvetia Baloise Holding Ltd.,,,BK6QWF0,,"30,582","12,109,806",0.00%,
Listed Equity,,,,Henderson Land Development Co. Ltd.,,,6420538,,"1,101,011","5,969,152",0.00%,
Listed Equity,,,,Henkel AG & Co. KGaA,,,5076705,,"151,510","18,566,591",0.01%,
Listed Equity,,,,Henkel AG & Co. KGaA,,,5002465,,"107,222","12,274,497",0.00%,
Listed Equity,,,,HENSOLDT AG,,,BN0SDX8,,"23,668","3,059,596",0.00%,
Listed Equity,,,,Hermes International SA,,,5253973,,"25,383","94,862,546",0.04%,
Listed Equity,,,,Hero MotoCorp Ltd.,,,6327327,,"251,066","24,174,119",0.01%,
Listed Equity,,,,Hewlett Packard Enterprise Co.,,,BYVYWS0,,"1,736,331","62,913,845",0.02%,
Listed Equity,,,,Hexagon AB,,,BNZFHC1,,"1,119,067","19,932,770",0.01%,
Listed Equity,,,,"Hikari Tsushin, Inc.",,,6416322,,"8,300","3,487,257",0.00%,
Listed Equity,,,,Hikma Pharmaceuticals Plc,,,B0LCW08,,"161,549","5,050,638",0.00%,
Listed Equity,,,,Hi-Lex Corp.,,,6643476,,0,"1,941",0.00%,
Listed Equity,,,,"Hilton Worldwide Holdings, Inc.",,,BYVMW06,,"21,091","9,085,086",0.00%,
Listed Equity,,,,"Himile Mechanical Science & Technology (Shandong) Co., Ltd.",,,BD5CFQ2,,"108,100","1,962,697",0.00%,
Listed Equity,,,,Hindustan Petroleum Corp. Ltd.,,,6100476,,"2,885,188","24,023,144",0.01%,
Listed Equity,,,,Hindustan Unilever Ltd.,,,6261674,,"187,872","7,259,280",0.00%,
Listed Equity,,,,Hitachi Energy India Ltd.,,,BK709V6,,"10,144","3,098,912",0.00%,
Listed Equity,,,,Hitachi Ltd.,,,6429104,,"2,574,160","120,722,158",0.04%,
Listed Equity,,,,HKT Trust & HKT Ltd.,,,B4TXDZ3,,"3,011,000","6,677,025",0.00%,
Listed Equity,,,,"HL Mando Co., Ltd.",,,BQJZQJ8,,"27,350","1,671,240",0.00%,
Listed Equity,,,,HMC Capital Ltd.,,,BJRBL61,,"536,144","2,123,130",0.00%,
Listed Equity,,,,Hochtief AG,,,5108664,,"6,402","3,799,724",0.00%,
Listed Equity,,,,Holcim Ltd.,,,7110753,,"448,501","66,012,970",0.02%,
Listed Equity,,,,Holmen AB,,,BDQQ1Q5,,"39,474","2,275,633",0.00%,
Listed Equity,,,,"Hologic, Inc.",,,2433530,,"95,882","10,710,430",0.00%,
Listed Equity,,,,"Hon Hai Precision Industry Co., Ltd.",,,6438564,,"9,496,091","104,465,899",0.04%,
Listed Equity,,,,"Honda Motor Co., Ltd.",,,6435145,,"2,775,943","40,792,461",0.02%,
Listed Equity,,,,"Honeywell International, Inc.",,,2020459,,"336,165","98,346,599",0.04%,
Listed Equity,,,,Hong Kong Exchanges & Clearing Ltd.,,,6267359,,"765,452","60,110,321",0.02%,
Listed Equity,,,,Hong Leong Bank Bhd.,,,6436892,,"200,644","1,641,586",0.00%,
Listed Equity,,,,Hongkong Land Holdings Ltd.,,,6434915,,"655,900","6,835,878",0.00%,
Listed Equity,,,,Horizon Robotics,,,BS5YNY7,,"1,844,400","3,077,301",0.00%,
Listed Equity,,,,Hormel Foods Corp.,,,2437264,,"133,466","4,743,412",0.00%,
Listed Equity,,,,"Howmet Aerospace, Inc.",,,BKLJ8V2,,"263,523","81,018,948",0.03%,
Listed Equity,,,,HOYA Corp.,,,6441506,,"282,249","63,956,390",0.02%,
Listed Equity,,,,"HP, Inc.",,,BYX4D52,,"955,151","32,342,070",0.01%,
Listed Equity,,,,HSBC Holdings Plc,,,0540528,,"10,300,572","243,874,136",0.09%,
Listed Equity,,,,"Hua Nan Financial Holdings Co., Ltd.",,,6411877,,"7,093,177","10,494,488",0.00%,
Listed Equity,,,,"Hua Xia Bank Co., Ltd.",,,BP3R2T5,,"293,600","433,344",0.00%,
Listed Equity,,,,"Huadong Medicine Co., Ltd.",,,BD5CM94,,"98,085","831,322",0.00%,
Listed Equity,,,,"Huatai Securities Co., Ltd.",,,BWVFT00,,"3,069,800","11,130,806",0.00%,
