Liable entity,Assessment year,LGC liability (Number of certificates)#,LGCs accepted for surrender,Remaining LGC Shortfall (Number of certificates),LGC shortfall (percentage of total LGC liability),"LGC shortfall charge issued (Y/N) *","LGCs surrendered for refund *",Value of LGC shortfall charge ($),LGC shortfall status *
ENERGYAUSTRALIA PTY LTD,2020,"1,825,107","1,193,866",0,34.50,Yes,"631,241",0 ,Charge fully refunded
GENUITY RETAIL PTY LTD,2020,"155,593","83,155",0,46.55,Yes,"72,438",0 ,Charge fully refunded
Lumo Energy (SA) Pty Ltd,2020,"45,607",0,0,100.00,Yes,"45,607",0 ,Charge fully refunded
Lumo Energy Australia Pty Ltd,2020,"155,824",0,0,100.00,Yes,"155,824",0 ,Charge fully refunded
MOJO POWER EAST PTY LTD (Receivers and Managers Appointed) (In Liquidation),2020,"8,326",0,"8,326",99.78,Yes,0,"541,190 ",No LGCs surrendered for refund
Mojo Power Pty Ltd (Receivers and Managers Appointed) (In Liquidation),2020,"6,476",0,"6,476",100.00,Yes,0,"420,940 ",No LGCs surrendered for refund
Mount Isa Mines Ltd,2020,"66,427",0,0,100.00,Yes,"66,427",0 ,Charge fully refunded
Onsite Energy Solutions Pty Ltd,2020,2,0,2,100.00,Yes,0,130 ,No LGCs surrendered for refund
Origin Energy Electricity Limited,2020,"6,942,689","4,489,026",0,35.34,Yes,"2,453,663",0 ,Charge fully refunded
Powershop Australia Pty Limited,2020,"153,366",0,0,99.51,Yes,"153,366",0 ,Charge fully refunded
Progressive Green Pty Ltd,2020,"169,059","4,024",0,97.61,Yes,"165,035",0 ,Charge fully refunded
ReAmped Energy Pty Ltd,2020,"12,004",0,0,99.30,Yes,"12,004",0 ,Charge fully refunded
Red Energy Pty. Limited,2020,"1,035,488","308,666",0,70.19,Yes,"726,822",0 ,Charge fully refunded
CleanTech Energy Pty Ltd,2021,"29,786",0,0,100.00,Yes,"29,786",0 ,Charge fully refunded
Diamantina Power Station Pty Limited,2021,"235,891","135,891",0,42.39,Yes,"100,000",0 ,Charge fully refunded
ELYSIAN ENERGY PTY. LTD.,2021,"15,958","14,000","1,958",12.23,Yes,0,"127,270 ",No LGCs surrendered for refund
Origin Energy Electricity Limited,2021,"6,106,724","2,462,630",0,59.67,Yes,"3,644,094",0 ,Charge fully refunded
PEEL RENEWABLE ENERGY PTY LTD,2021,20,12,8,40.00,Yes,0,520 ,No LGCs surrendered for refund
Powershop Australia Pty Limited,2021,"157,240",0,0,100.00,Yes,"157,240",0 ,Charge fully refunded
Progressive Green Pty Ltd,2021,"212,352","19,944",0,90.60,Yes,"192,408",0 ,Charge fully refunded
SOCIAL ENERGY AUSTRALIA PTY LTD - Under administration,2021,1,0,1,100.00,Yes,0,65 ,No LGCs surrendered for refund
TOTALENERGIES GAS & POWER AUSTRALIA PTY LTD,2021,"135,445",445,0,99.67,Yes,"135,000",0 ,Charge fully refunded
Amanda Energy Pty Ltd,2022,"19,570",771,0,96.06,Yes,"18,799",0 ,Charge fully refunded
Aurora Energy Pty Ltd,2022,"798,929","563,150",0,29.51,Yes,"235,779",0 ,Charge fully refunded
AUSTRALIAN POWER PARTNERS B V and Others,2022,"1,852",0,0,100.00,Yes,"1,852",0 ,Charge fully refunded
BRIGHT SPARK POWER PTY LIMITED - Under administration,2022,732,7,725,99.04,Yes,0,"47,125 ",No LGCs surrendered for refund
CleanTech Energy Pty Ltd,2022,"34,430","1,114",0,96.76,Yes,"33,316",0 ,Charge fully refunded
ELYSIAN ENERGY PTY. LTD.,2022,"14,421",108,"14,313",99.25,Yes,0,"930,345 ",No LGCs surrendered for refund
ENERGY SERVICES MANAGEMENT PTY LTD,2022,"1,172",0,0,100.00,Yes,"1,172",0 ,Charge fully refunded
ENERGYAUSTRALIA PTY LTD,2022,"1,540,099","1,219,027",0,20.77,Yes,"321,072",0 ,Charge fully refunded
ENOVA ENERGY PTY LTD,2022,"1,433",0,"1,433",23.35,Yes,0,"93,145 ",No LGCs surrendered for refund
GEE POWER & GAS PTY LTD,2022,535,0,0,100.00,Yes,535,0 ,Charge fully refunded
IPOWER 2 PTY LIMITED and IPOWER PTY LIMITED TA ENGIE,2022,"599,652","14,095",0,97.64,Yes,"585,557",0 ,Charge fully refunded
MOJO POWER EAST PTY LTD (In liquidation),2022,"14,609",0,"14,609",100.00,Yes,0,"949,585 ",No LGCs surrendered for refund
