Organisation name,Identifying details,Total scope 1 emissions (t CO2-e),Total scope 2 emissions (t CO2-e),Net energy consumed (GJ),Important notes
QUEENSLAND ELECTRICITY TRANSMISSION CORPORATION LIMITED,82 078 849 233,"19,022","897,970","4,463,682",-
LITTLE COMPANY OF MARY HEALTH CARE LIMITED,11 079 815 697,"17,485","40,771","596,371",-
DEXUS HOLDINGS PTY LIMITED,48 110 366 946,"17,441","124,916","841,899",-
EPSILON DISTRIBUTION MINISTERIAL HOLDING CORPORATION,59 253 130 878,"16,889","584,089","2,994,644",-
OLAM ORCHARDS AUSTRALIA PTY LTD,15 139 442 532,"16,415","59,051","502,809",-
PACT GROUP HOLDINGS LTD,55 145 989 644,"16,246","180,386","1,212,409",-
AUSTRALIAN NATIONAL UNIVERSITY,52 234 063 906,"16,220","77,265","641,082",-
UNIVERSITY OF MELBOURNE,84 002 705 224,"15,722","98,759","737,997",-
RAMSAY HEALTH CARE LIMITED,57 001 288 768,"15,474","129,546","968,530",-
METCASH LIMITED,32 112 073 480,"15,446","54,383","435,600",-
AUSTIN HEALTH,96 237 388 063,"15,216","44,182","479,151",-
TRILITY GROUP PTY LTD,39 144 522 565,"15,143","54,935","580,272",-
CHEMCO PTY LTD,68 008 725 817,"14,935","103,883","854,005",-
ST JOHN OF GOD HEALTH CARE INC,21 930 207 958,"14,711","48,241","558,223",-
IVE GROUP LIMITED,62 606 252 644,"14,624","56,078","507,548",-
ALKANE RESOURCES LTD,35 000 689 216,"14,399","43,655","421,507",-
ANZ HOSPITALS TOPCO PTY LTD,20 631 014 965,"14,162","76,878","675,538",-
PERILYA LIMITED,85 009 193 695,"14,014","121,929","840,705",-
"COSTCO WHOLESALE AUSTRALIA, PTY. LTD.",57 104 012 893,"13,197","40,751","280,891",-
MATER MISERICORDIAE LTD,83 096 708 922,"13,190","54,387","435,430",-
NORTH METROPOLITAN HEALTH SERVICE,61 282 636 952,"12,659","48,443","586,652",-
METALS ACQUISITION CORP. (AUSTRALIA) PTY LTD,98 657 799 758,"12,560","87,411","615,337",-
CMOC MINING PTY LIMITED,17 164 997 317,"12,035","186,447","1,094,218",-
QIC LIMITED,95 942 373 762,"11,714","66,965","510,216",-
SCENTRE GROUP LIMITED,66 001 671 496,"11,520","180,161","1,142,282",-
COMPETITIVE FOODS AUSTRALIA PTY LTD,48 010 542 908,"11,271","89,506","701,310",-
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,41 687 119 230,"10,947","66,871","573,144",-
EVT LIMITED,51 000 005 103,"10,827","99,414","716,067",-
AUSGRID MANAGEMENT PTY LTD,83 615 449 548,"10,826","656,083","3,361,037",-
RICEGROWERS LIMITED,55 007 481 156,"10,377","54,981","452,216",-
SYDNEY TRAINS,38 284 779 682,"10,369","476,680","2,485,710",-
NSW ELECTRICITY NETWORKS OPERATIONS PTY LIMITED,609 169 959,"10,358","1,251,885","6,237,414",-
YUXIN HOLDINGS PTY LIMITED,53 653 087 257,"10,317","40,365","350,328",-
THE STAR ENTERTAINMENT GROUP LIMITED,85 149 629 023,"10,093","83,809","608,345",-
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (Q.),25 548 385 225,"9,307","65,624","471,431",-
MIRVAC LIMITED,92 003 280 699,"9,246","73,863","536,474",-
VILO ENTERPRISES PTY LTD,070 890 229,"9,233","44,539","341,093",-
CHARTER HALL LIMITED,57 113 531 150,"8,945","90,681","587,125",-
HOLIDAY INNS HOLDINGS (AUSTRALIA) PTY. LIMITED,95 003 621 216,"8,492","50,621","435,466",-
BP AUSTRALIA INVESTMENTS PTY LTD,66 102 991 551,"8,169","74,280","548,311",-
SONIC HEALTHCARE LIMITED,24 004 196 909,"7,915","51,188","386,315",-
UNIVERSITY OF NEW SOUTH WALES,57 195 873 179,"7,768","65,326","473,773",-
PUBLIC TRANSPORT AUTHORITY OF WESTERN AUSTRALIA,61 850 109 576,"7,733","104,651","850,483",-
AIR LIQUIDE AUSTRALIA LIMITED,57 004 385 782,"7,723","168,564","1,419,522",-
TASMANIAN NETWORKS PTY LTD,24 167 357 299,"7,611","86,273","1,886,130",-
SYDNEY AVIATION ALLIANCE HOLDINGS PTY LTD,54 654 912 197,"7,086","69,233","465,963",-
IX INFRASTRUCTURE PTY LTD,78 629 750 401,"6,970","129,798","1,348,230",-
GPT MANAGEMENT HOLDINGS LIMITED,67 113 510 188,"6,640","79,919","508,579",-
METRO TRAINS AUSTRALIA PTY LTD,88 614 061 960,"6,397","365,545","1,644,557",-
HARVEY NORMAN HOLDINGS LTD,54 003 237 545,"6,230","81,564","520,366",-
THE UNIVERSITY OF SYDNEY,15 211 513 464,"6,202","76,378","498,089",-
VICINITY LIMITED,90 114 757 783,"5,985","107,368","682,359",-
PFG TOPCO1 PTY LIMITED,35 604 317 875,"5,886","57,664","379,991",-
SUN METALS HOLDINGS LIMITED,30 051 538 580,"5,788","376,531","2,634,493",-
METRO TRAINS SYDNEY PTY LTD,54 600 820 737,"5,625","61,422","383,079",-
WESTPAC BANKING CORPORATION,33 007 457 141,"5,142","57,363","368,081",-
COMMONWEALTH BANK OF AUSTRALIA,48 123 123 124,"5,088","62,332","390,607",-
TRANSURBAN HOLDINGS LIMITED,86 098 143 429,"4,927","182,047","956,456",-
NATIONAL AUSTRALIA BANK LIMITED,12 004 044 937,"4,610","55,744","327,609",-
ANZ GROUP HOLDINGS LIMITED,16 659 510 791,"4,068","63,617","349,815",-
NBN CO LIMITED,86 136 533 741,"3,812","275,387","1,487,165",-
MYER HOLDINGS LIMITED,14 119 085 602,"3,324","85,171","463,852",-
SUNWATER LIMITED,17 020 276 523,"2,911","95,170","509,558",-
ELECTRANET PTY LIMITED,41 094 482 416,"2,733","115,967","1,674,502",-
TPG TELECOM LIMITED,76 096 304 620,"2,619","237,775","1,297,780",-
QUEENSLAND BULK WATER SUPPLY AUTHORITY,75 450 239 876,"2,471","121,906","636,514",-
AUSTRALIAN NUCLEAR SCIENCE AND TECHNOLOGY ORGANISATION,47 956 969 590,"2,413","50,932","253,146",-
AIRTRUNK AUSTRALIA HOLDING PTY LTD,50 616 379 232,"2,352","348,562","1,643,984",-
THE UNIVERSITY OF QUEENSLAND,63 942 912 684,"2,191","100,995","556,775",-
A.C.N. 085 239 998 PTY LTD,39 085 239 998,"1,896","155,780","844,628",-
DALRYMPLE BAY COAL TERMINAL PTY. LTD.,12 010 268 167,"1,860","70,625","376,901",-
FUJITSU AUSTRALIA LTD,19 001 011 427,"1,668","68,576","349,474",-
SINGAPORE TELECOM AUSTRALIA INVESTMENTS PTY LIMITED,69 096 686 190,"1,537","372,997","1,937,310",-
FREQUENCY INFRASTRUCTURE AUSTRALIA HOLDINGS PTY LTD,27 136 262 952,"1,302","60,800","355,448",-
EQUINIX AUSTRALIA PTY LIMITED,25 092 807 264,"1,106","286,428","1,392,552",-
SUPER RETAIL GROUP LIMITED,81 108 676 204,"1,100","51,363","278,245",-
NEXTDC LIMITED,35 143 582 521,923,"348,765","1,689,015",-
AMAZON CORPORATE SERVICES PTY LTD,95 082 931 600,739,"305,732","1,507,903",-
AMERICOLD LOGISTICS LIMITED,58 004 902 998,711,"49,366","254,464",-
R.G. WITHERS NOMINEES PTY. LTD.,005 620 860,676,"107,767","525,930",-
PORT WARATAH COAL SERVICES LTD,99 001 363 828,444,"88,358","442,299",-
JB HI-FI LIMITED,80 093 220 136,379,"56,850","307,027",-
NCIG HOLDINGS PTY LTD,98 124 700 483,324,"49,991","252,016",-
MCDONALD'S AUSTRALIA LIMITED,43 008 496 928,228,"65,792","341,286",-
CDC GROUP HOLDINGS PTY LTD,67 612 332 073,199,"212,744","1,052,002",-
GLOBAL SWITCH AUSTRALIA HOLDINGS PTY LIMITED,35 138 200 049,184,"94,827","470,265",-
DIGITAL AUSTRALIA INVESTMENT MANAGEMENT PTY LIMITED,27 150 294 134,142,"69,801","326,648",-
LINEAGE AP HOLDINGS PTY LTD,27 637 083 544,0,"79,337","395,238",-
