operator,entity_id,year,published_name,scope1_t,scope2_t,net_energy_gj,n_published_rows,all_published_names
Global Switch Australia,,2022-23,GLOBAL SWITCH AUSTRALIA HOLDINGS PTY LIMITED,184.0,94827.0,470265.0,1,GLOBAL SWITCH AUSTRALIA HOLDINGS PTY LIMITED
Global Switch Australia,,2023-24,GLOBAL SWITCH AUSTRALIA HOLDINGS PTY LIMITED,311.0,78961.0,422466.0,1,GLOBAL SWITCH AUSTRALIA HOLDINGS PTY LIMITED
NEXTDC,ENT_NEXTDC,2019-20,NEXTDC LIMITED,433.0,218605.0,906422.0,1,NEXTDC LIMITED
NEXTDC,ENT_NEXTDC,2020-21,NEXTDC LIMITED,663.0,293797.0,1257868.0,1,NEXTDC LIMITED
NEXTDC,ENT_NEXTDC,2021-22,NEXTDC LIMITED,1289.0,350049.0,1536358.0,1,NEXTDC LIMITED
NEXTDC,ENT_NEXTDC,2022-23,NEXTDC LIMITED,923.0,348765.0,1689015.0,1,NEXTDC LIMITED
NEXTDC,ENT_NEXTDC,2023-24,NEXTDC LIMITED,1614.0,335627.0,1744228.0,1,NEXTDC LIMITED
NEXTDC,ENT_NEXTDC,2024-25,NEXTDC LIMITED,7919.0,358353.0,1971147.0,1,NEXTDC LIMITED
Telstra,ENT_TELSTRA,2019-20,TELSTRA CORPORATION LIMITED,36019.0,1140573.0,5593779.0,1,TELSTRA CORPORATION LIMITED
Telstra,ENT_TELSTRA,2020-21,TELSTRA CORPORATION LIMITED,32815.0,1080491.0,5358340.0,1,TELSTRA CORPORATION LIMITED
Telstra,ENT_TELSTRA,2021-22,TELSTRA CORPORATION LIMITED,31543.0,1040346.0,5284566.0,1,TELSTRA CORPORATION LIMITED
Telstra,ENT_TELSTRA,2022-23,TELSTRA GROUP LIMITED,30465.0,856726.0,4933447.0,1,TELSTRA GROUP LIMITED
Telstra,ENT_TELSTRA,2023-24,TELSTRA GROUP LIMITED,32771.0,757967.0,4657693.0,1,TELSTRA GROUP LIMITED
Telstra,ENT_TELSTRA,2024-25,TELSTRA GROUP LIMITED,31422.0,677664.0,4310554.0,1,TELSTRA GROUP LIMITED
