Organisation name,Identifying details,Total scope 1 emissions (t CO2-e),Total scope 2 emissions (t CO2-e),Net energy consumed (GJ),Important notes
AGL ENERGY LIMITED,74 115 061 375,"32,911,665","264,424","254,251,076",-
STANWELL CORPORATION LIMITED,37 078 848 674,"17,865,749","52,790","129,391,568",-
ENERGYAUSTRALIA HOLDINGS LIMITED,57 101 876 135,"16,473,489","198,921","132,020,290",-
ORIGIN ENERGY LIMITED,30 000 051 696,"15,563,946","2,200,940","136,297,764",-
CHEVRON AUSTRALIA HOLDINGS PTY LTD,60 098 079 344,"12,928,601","1,863","141,585,993",-
PIONEER SAIL HOLDINGS PTY LIMITED,45 617 844 569,"10,333,400","7,149","83,784,882",-
C S ENERGY LIMITED,54 078 848 745,"9,200,731","38,117","66,369,053","Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times.
C S ENERGY LIMITED and GENUITY PTY LTD, have each included the same data for the Callide C Power Station in their NGER reports. For further information refer to the 2023–24 Greenhouse and energy information for designated generation facilities."
WOODSIDE ENERGY GROUP LTD,55 004 898 962,"8,421,985","5,330","132,572,647",-
RIO TINTO LIMITED,96 004 458 404,"7,564,804","7,075,886","148,703,367",-
SEV.EN GLOBAL INVESTMENTS PTY LTD,52 661 272 233,"7,056,948","74,809","48,154,210",-
INPEX HOLDINGS AUSTRALIA PTY LTD,61 150 217 315,"6,698,961",619,"70,839,801",-
NRG VICTORIA I PTY LTD,26 076 286 578,"6,492,467","46,061","49,134,660",-
GLENCORE HOLDINGS PTY LIMITED,41 104 160 689,"6,315,820","1,365,518","57,435,913",-
BLUESCOPE STEEL LIMITED,16 000 011 058,"6,131,585","806,487","72,068,451",-
SOUTH32 LIMITED,84 093 732 597,"5,697,621","308,477","52,786,134",-
GENUITY PTY LTD,34 128 655 096,"5,613,762","15,890","43,032,572","Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times.
C S ENERGY LIMITED and GENUITY PTY LTD, have each included the same data for the Callide C Power Station in their NGER reports. For further information refer to the 2023–24 Greenhouse and energy information for designated generation facilities."
ALCOA AUSTRALIAN HOLDINGS PTY LTD,33 096 987 370,"5,607,995","3,203,337","113,462,523",-
ELECTRICITY GENERATION AND RETAIL CORPORATION,58 673 830 106,"5,362,016","10,078","47,612,838",-
QANTAS AIRWAYS LIMITED,16 009 661 901,"4,528,002","59,740","67,075,807",-
SANTOS LIMITED,80 007 550 923,"4,233,840","733,963","44,335,175",-
ANGLO AMERICAN AUSTRALIA LIMITED,47 004 892 371,"4,174,693","632,607","18,168,931",-
BHP GROUP LIMITED,49 004 028 077,"3,698,759","1,314,290","67,483,659",-
RTA HOLDCO AUSTRALIA 5 PTY LTD,38 128 785 599,"3,094,142","555,600","40,715,757",-
BM ALLIANCE COAL OPERATIONS PTY LIMITED,67 096 412 752,"3,084,445","821,714","32,817,505",-
YANCOAL AUSTRALIA LTD,82 111 859 119,"2,625,260","346,491","19,460,179",-
CEMENT AUSTRALIA HOLDINGS PTY LTD,99 001 085 561,"2,571,989","184,380","13,151,601",-
LIBERTY PRIMARY METALS AUSTRALIA PTY LTD,29 631 112 573,"2,425,797","164,165","18,436,308",-
CONOCOPHILLIPS AUSTRALIA OPERATIONS PTY LTD,28 141 253 787,"2,120,644",368,"39,646,117",-
VIRGIN AUSTRALIA HOLDINGS LIMITED,54 100 686 226,"2,103,081","7,702","29,998,384",-
SHELL ENERGY HOLDINGS AUSTRALIA LIMITED,69 054 260 776,"2,030,133","6,280","24,563,543",-
FORTESCUE LTD,57 002 594 872,"2,002,222","513,963","33,272,914",-
QGC MIDSTREAM INVESTMENTS PTY LTD,77 130 857 215,"1,936,241",0,"35,997,306",-
APA INFRASTRUCTURE LIMITED,89 009 666 700,"1,905,318","141,845","24,781,469",-
ADBRI PTY LIMITED,15 007 596 018,"1,756,827","131,022","12,356,180",-
PEABODY AUSTRALIA HOLDCO PTY LTD,61 154 820 130,"1,735,165","165,265","8,437,782",-
GLNG OPERATIONS PTY LTD,66 132 321 192,"1,645,894",340,"28,366,523",-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,14 613 690 243,"1,520,899","257,729","20,195,397",-
EXXONMOBIL AUSTRALIA PTY LTD,48 091 561 198,"1,506,654","27,373","19,416,276",-
YARA AUSTRALIA PTY LTD,77 076 301 221,"1,367,287","14,367","26,766,075",-
BLUEWATERS POWER 1 PTY LTD,93 106 034 879,"1,352,311",900,"9,117,339",-
SGH LIMITED,46 142 003 469,"1,281,444","258,079","10,171,480",-
BLUEWATERS POWER 2 PTY LTD,57 122 896 968,"1,238,252","1,835","8,413,923",-
WHITEHAVEN COAL LIMITED,68 124 425 396,"1,228,004","137,673","8,788,744",-
KESTREL COAL GROUP PTY LTD,70 624 655 518,"1,223,730","160,284","6,337,899",-
PECHINEY CONSOLIDATED AUSTRALIA PTY LIMITED,39 076 569 769,"1,159,663","5,649,626","40,365,255",-
CITIC PACIFIC MINING MANAGEMENT PTY LTD,64 119 578 371,"1,111,621",146,"20,476,950",-
VIVA ENERGY GROUP LIMITED,74 626 661 032,"1,073,592","323,815","13,634,362",-
CLEANAWAY WASTE MANAGEMENT LIMITED,74 101 155 220,"1,069,528","51,970","6,168,172",-
BANPU AUSTRALIA CO. PTY LTD,56 136 468 007,"998,465","206,034","1,703,146",-
STANMORE RESOURCES LIMITED,27 131 920 968,"997,048","111,075","8,211,368",-
VEOLIA HOLDINGS AUSTRALIA PTY LTD,82 663 593 093,"981,703","192,838","5,374,471",-
ORICA LIMITED,24 004 145 868,"938,397","141,207","15,783,816",-
QGC UPSTREAM INVESTMENTS PTY LTD,86 131 104 651,"929,217","2,322,456","25,492,265",-
QCOAL PTY LTD,99 010 911 234,"914,814","82,226","5,779,020",-
POWER GENERATION CORPORATION,72 687 980 755,"910,160",121,"12,693,132",-
CORONADO AUSTRALIA HOLDINGS PTY LTD,23 623 524 989,"909,444","169,352","6,829,882",-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,40 062 135 844,"902,110",45,"11,662,559",-
INCITEC PIVOT LIMITED,42 004 080 264,"900,402","50,998","16,724,582",-
WESFARMERS LIMITED,28 008 984 049,"826,977","485,184","18,290,838",-
INTERNATIONAL POWER (AUSTRALIA) HOLDINGS PTY LIMITED,70 105 041 209,"783,392","3,646","9,166,773",-
AUSTRALIAN LOGISTICS ACQUISITION HOLDINGS PTY LIMITED,28 611 628 909,"770,634","80,840","11,400,024",-
NEWGEN KWINANA HOLDINGS PTY LTD,68 116 576 955,"755,148",650,"8,302,190",-
NORTHERN STAR RESOURCES LTD,43 092 832 892,"750,285","291,511","14,070,927",-
FITZROY (CQ) PTY LTD,61 103 902 389,"744,268","59,360","1,746,907",-
TRONOX LIMITED,91 153 348 111,"730,412","140,969","11,815,033",-
AMPOL LIMITED,40 004 201 307,"725,761","215,043","11,729,108",-
MINERAL RESOURCES LIMITED,33 118 549 910,"704,979","11,055","10,798,190",-
SGSP (AUSTRALIA) ASSETS PTY LTD,60 126 327 624,"694,821","199,121","7,125,357",-
HANCOCK PROSPECTING PTY LIMITED,69 008 676 417,"677,738","270,170","11,820,025",-
ADANI MINING PTY LTD,27 145 455 205,"675,247",204,"3,494,395",-
NEW HOPE CORPORATION LIMITED,38 010 653 844,"667,497","60,641","3,897,920",-
PRATT CONSOLIDATED HOLDINGS PTY. LTD.,43 104 958 581,"666,826","891,429","26,715,525",-
AURIZON HOLDINGS LIMITED,14 146 335 622,"662,797","283,225","10,835,054",-
ANGLOGOLD INVESTMENTS AUSTRALIA PTY LTD,48 090 112 459,"472,548",109,"8,219,042",-
NYRSTAR AUSTRALIA PTY LTD,46 124 535 468,"462,019","172,062","10,631,243",-
BEACH ENERGY LIMITED,20 007 617 969,"451,348","17,726","6,768,556",-
NEWMONT INTERNATIONAL HOLDINGS PTY LTD,53 667 812 642,"446,545","817,370","11,920,221",-
GOLD FIELDS AUSTRALIA PTY LIMITED,91 098 385 285,"444,476","119,539","8,859,868",-
NEWMONT AUSTRALIA PTY LTD,95 099 040 507,"439,913","484,072","10,434,553",-
CAJOSA PTY LTD,73 002 724 021,"400,456","217,717","7,785,414",-
QUBE HOLDINGS LIMITED,14 149 723 053,"382,811","20,465","5,580,329",-
WOOLWORTHS GROUP LIMITED,88 000 014 675,"378,135","1,266,614","8,534,725",-
ARROW ENERGY HOLDINGS PTY LTD,94 141 385 293,"369,997","13,282","5,616,290",-
ILUKA RESOURCES LIMITED,34 008 675 018,"364,539","81,108","8,626,612",-
JELLINBAH GROUP PTY LTD,54 010 754 793,"364,464","10,934","2,629,938",-
PAPER AUSTRALIA PTY LTD,63 061 583 533,"356,383","317,147","12,459,464",-
WOLLONGONG COAL LIMITED,28 111 244 896,"350,847","11,743","80,005",-
RATCH - AUSTRALIA CORPORATION PTY LTD,31 106 617 332,"339,812","7,267","4,386,853",-
QENOS HOLDINGS PTY LTD,62 086 026 968,"324,441","39,378","11,371,848",-
REMONDIS AUSTRALIA PTY LTD,95 002 429 781,"286,840","3,035","510,595",-
HEIDELBERG MATERIALS AUSTRALIA GROUP HOLDINGS PTY LTD,48 090 994 657,"276,342","49,727","3,090,784",-
VAULT MINERALS LIMITED,73 068 647 610,"274,452",35,"4,746,974",-
BAYBRICK PTY. LTD.,97 067 220 017,"269,598","231,010","4,105,986",-
QMETCO LIMITED,98 008 124 025,"265,558","12,045","2,416,301",-
LIBERTY HOLDINGS AUSTRALIA LTD,16 627 011 938,"256,901","675,850","7,396,019",-
THUNGELA RESOURCES AUSTRALIA PTY LIMITED,97 665 159 759,"254,227","46,442","682,527",-
CLEANCO QUEENSLAND LIMITED,85 628 008 159,"254,126","691,141","6,306,595",-
AUSTRALIAN GAS NETWORKS HOLDINGS PTY LIMITED,24 169 818 026,"252,446",307,"1,239,439",-
CSR LIMITED,90 000 001 276,"252,351","149,458","5,228,174",-
DBNGP (WA) TRANSMISSION PTY LIMITED,69 081 609 190,"250,025","1,552","4,151,710",-
KELSIAN GROUP LIMITED,49 109 078 257,"249,233","10,989","3,671,417",-
QMAG PTY LIMITED,68 111 279 906,"247,973","48,988","1,590,717",-
MELBOURNE WATER CORPORATION,81 945 386 953,"246,344","149,115","1,950,576",-
A.C.N. 630 698 716 PTY LTD,18 630 698 716,"246,321","23,205","1,466,123",-
COLES GROUP LIMITED,11 004 089 936,"245,658","1,040,441","6,604,853",-
REGIONAL EXPRESS HOLDINGS LIMITED,18 099 547 270,"243,723","1,432","3,480,758",-
ALLIANCE AVIATION SERVICES LIMITED,96 153 361 525,"235,115","1,088","3,356,601",-
AUSTRALIAN PARCELS GROUP PTY LTD,21 649 001 409,"231,984","21,231","3,442,277",-
GRANGE RESOURCES LIMITED,80 009 132 405,"231,857","29,449","4,688,264",-
AUSTRALIAN ENERGY HOLDINGS NO 1 PTY LTD,18 654 672 670,"221,484","1,362,502","8,375,816",-
IDEMITSU AUSTRALIA PTY LTD,45 010 236 272,"220,974","16,272","3,240,998",-
BATCHFIRE RESOURCES PTY LTD,84 607 340 189,"218,872","30,074","3,291,532",-
HOLCIM PARTICIPATIONS (AUSTRALIA) PTY LTD,46 122 401 405,"217,850","54,846","3,423,092",-
JADESTONE ENERGY HOLDINGS LTD ,"6TH FLOOR 60 GRACECHURCH STREET, LONDON, UNITED KINGDOM, EC3V 0HR","214,184",23,"3,246,886",-
ATCO AUSTRALIA PTY LTD,74 091 033 546,"210,053","2,744","2,615,331",-
REGIS RESOURCES LIMITED,28 009 174 761,"206,312",56,"2,999,232",-
LEONE FAMILY HOLDINGS PTY LTD,69 618 356 586,"205,949","3,814","2,954,448",-
LEPGF PTY LTD,82 640 391 868,"204,977","25,360","3,069,270",-
ORORA LIMITED,55 004 275 165,"202,259","74,648","3,856,394",-
EVOLUTION MINING LIMITED,74 084 669 036,"199,449","623,823","6,669,763",-
MACH AUSTRALIA HOLDINGS PTY LTD,66 608 494 828,"196,934","30,757","1,995,875",-
LIBERTY BELL BAY PTY LTD,23 004 456 035,"196,125","66,783","4,005,275",-
BOWEN COKING COAL LIMITED,72 064 874 620,"189,527",615,"1,473,384",-
DOWNER EDI LIMITED,97 003 872 848,"184,125","33,816","3,001,423",-
PILBARA MINERALS LIMITED,95 112 425 788,"180,291",110,"2,610,790",-
FQM AUSTRALIA HOLDINGS PTY LTD,77 136 613 075,"171,706",20,"2,605,183",-
NORSKE SKOG INDUSTRIES AUSTRALIA LIMITED,50 003 902 985,"171,146","87,982","4,561,767",-
TT-LINE COMPANY PTY. LTD.,39 061 996 174,"165,696",971,"2,361,564",-
WILPINJONG COAL PTY LTD,87 104 594 694,"162,960","22,691","2,257,993",-
TOLL HOLDINGS PTY LIMITED,25 006 592 089,"162,756","16,311","2,411,034",-
BRICKWORKS LTD,17 000 028 526,"161,179","49,888","3,368,710",-
SNOWY HYDRO LIMITED,17 090 574 431,"160,618","401,291","4,363,785",-
QUEENSLAND NITRATES PTY LTD,63 079 889 268,"156,174","47,627","3,098,278",-
PEMBROKE RESOURCES NOMINEE PTY LTD,40 169 037 236,"155,917","9,555","1,535,212",-
ENERGY QUEENSLAND LIMITED,96 612 535 583,"154,617","1,304,565","7,938,923",-
WASTE ASSETS MANAGEMENT CORPORATION,56 784 733 957,"151,046",692,"15,472",-
WILMAR AUSTRALIA HOLDINGS PTY LIMITED,79 144 972 743,"150,919","42,212","42,740,032",-
FULTON HOGAN AUSTRALIA PTY LTD,42 135 849 115,"148,993","19,814","2,401,990",-
A.C.N. 166 119 133 PTY LTD,31 166 119 133,"147,154","133,771","3,003,413",-
WESTGOLD RESOURCES LIMITED,60 009 260 306,"144,961",883,"2,360,122",-
CEVA PTY LTD,27 122 147 433,"141,354","5,836","2,042,512",-
V/LINE CORPORATION,91 273 289 190,"138,625","12,739","2,039,062",-
BARALABA COAL COMPANY PTY LTD,42 096 909 634,"138,324","1,715","1,314,552",-
RAVENSWOOD GOLD GROUP PTY LTD,18 637 523 712,"137,227","86,868","2,397,827",-
BGC (AUSTRALIA) PTY LTD,62 005 736 005,"135,340","52,431","2,789,001",-
SCT GROUP HOLDINGS PTY LTD,39 651 271 920,"133,997","5,146","1,926,559",-
RTA HOLDCO AUSTRALIA 1 PTY LTD,17 128 762 318,"133,829",0,"1,656,729",-
COMFORTDELGRO CORPORATION AUSTRALIA PTY LTD,84 002 072 004,"133,383","4,546","1,919,260",-
LINDSAY AUSTRALIA LIMITED,81 061 642 733,"131,774","8,254","1,916,336",-
SOJITZ DEVELOPMENT PTY LTD,34 063 050 680,"127,270","45,119","1,515,858",-
AMPLITUDE ENERGY LIMITED,93 096 170 295,"126,582","3,030","3,520,864",-
HYDRO-ELECTRIC CORPORATION,48 072 377 158,"124,509","11,170","2,142,418",-
AUSTRALIAN POSTAL CORPORATION,28 864 970 579,"121,621","106,117","2,375,303",-
RAMELIUS RESOURCES LIMITED,51 001 717 540,"118,366","28,674","2,047,775",-
KINETIC TCO PTY LTD,20 601 251 067,"117,810","5,514","1,710,078",-
POWER AND WATER CORPORATION,15 947 352 360,"114,972","81,098","1,565,463",-
IGO LIMITED,46 092 786 304,"111,037","22,707","1,893,363",-
GENESIS MINERALS LIMITED,72 124 772 041,"110,615",587,"1,999,325",-
SRI CORPORATION PTY LTD,89 088 736 556,"109,978","23,032","1,571,102",-
MGM GROUP HOLDINGS PTY LTD,89 107 407 385,"109,135",457,"1,562,839",-
AUSCAN HOLDINGS PTY LIMITED,70 084 400 886,"108,807",36,"1,488,650",-
CCP VI VG HOLDINGS PTY LTD,41 630 151 530,"107,454","20,754","1,680,324",-
THE TRUSTEE FOR THE MADDINGLEY MINE TRUST,63 604 564 597,"106,199",344,"681,409",-
DENISON GAS LIMITED,86 625 883 561,"106,158",125,"585,655",-
WINDFIELD HOLDINGS PTY LTD,60 160 456 164,"104,640","84,257","2,078,406",-
NORTON GOLD FIELDS PTY LTD,23 112 287 797,"103,962","65,694","1,957,968",-
WEBUILD S.P.A.,83 159 573 896,"101,900","148,004","2,272,827",-
TRANSDEV AUSTRALASIA PTY LTD,40 079 303 816,"101,659","17,811","1,602,989",-
KIMBERLY-CLARK PACIFIC HOLDINGS PTY LIMITED,59 095 905 294,"100,786","7,915","2,026,286",-
MAGNETIC INFRASTRUCTURE GROUP PTY LTD,81 663 518 563,"98,207",120,"1,401,666",-
GPC ASIA PACIFIC HOLDINGS PTY LTD,80 162 550 978,"98,108","19,386","1,949,787",-
