Organisation name,Identifying details,Total scope 1 emissions (t CO2-e),Total scope 2 emissions (t CO2-e),Net energy consumed (GJ),Important notes
WESTREET INVESTMENTS PTY LTD,83 000 799 208,"97,479","4,372","1,423,798",-
SILICON METAL COMPANY OF AUSTRALIA PTY LTD,73 009 401 736,"97,299","307,106","3,557,392",-
TERRACOM LIMITED,35 143 533 537,"96,166","17,970","598,528",-
AUSTRALIAN PACIFIC COAL LIMITED,49 089 206 986,"95,998","4,062","37,640",-
NEW ZEALAND MILK (AUSTRALASIA) PTY LTD,23 003 502 654,"95,817","81,450","2,234,699",-
KEOLIS AUSTRALIA PTY LTD,68 132 482 850,"95,542","95,724","1,905,429",-
BOORTMALT AUSTRALIA PTY LTD,70 634 393 338,"93,951","192,214","2,517,947",-
RIO TINTO SHIPPING (ASIA) PTE LTD,71 242 047 864,"93,387",0,"1,389,683",-
RON FINEMORE TRANSPORT PTY. LTD.,30 106 495 087,"93,374",420,"1,329,378",-
AIRWORK FLIGHT OPERATIONS PTY LTD,13 119 011 871,"93,088",164,"1,326,809",-
WASTE TOP CO PTY LTD,651 529 565,"92,729",263,"48,413",-
A.A. SCOTT PROPRIETARY LIMITED,14 007 601 667,"91,706","2,556","1,325,474",-
CAPRICORN METALS LTD,84 121 700 105,"89,857",13,"1,519,583",-
VITRINITE PTY LTD,46 167 744 578,"88,376",26,"692,073",-
RESOURCECO HOLDINGS PTY LTD,64 107 343 288,"87,817","11,968","684,007",-
TEYS AUSTRALIA PTY LTD,38 009 872 600,"87,795","93,615","1,729,011",-
WESTSIDE ENERGY PTY LTD,39 168 060 366,"87,354",636,"834,218",-
A.J. BUSH & SONS PTY LTD,77 000 134 010,"86,640","12,537","755,900",-
MAINFREIGHT DISTRIBUTION PTY LIMITED,85 003 840 319,"86,168","8,797","1,276,344",-
COLLINS TRANSPORT GROUP PTY LTD,66 098 659 342,"84,151","3,360","1,227,988",-
SEAROAD HOLDINGS PTY LTD,16 123 749 655,"83,559",691,"1,194,109",-
BEGA CHEESE LIMITED,81 008 358 503,"83,512","158,771","2,588,775",-
HOCHTIEF AUSTRALIA HOLDINGS LIMITED,17 103 181 675,"82,153","79,211","1,604,929",-
BAIADA PTY LTD,47 000 426 808,"80,696","148,150","2,614,390",-
NATIONAL JET EXPRESS PTY LTD,46 063 561 482,"79,540",269,"1,134,887",-
REGIONAL POWER CORPORATION,57 955 011 697,"79,183","28,436","1,138,544",-
KARARA MINING LIMITED,68 070 871 831,"79,060","259,992","2,924,328",-
FIGELA PTY LTD,003 179 986,"78,901",16,"9,144",-
FOOD INVESTMENTS PTY. LIMITED,85 008 426 177,"75,509","116,472","1,946,853",-
THE TRUSTEE FOR COSTA'S UNIT TRUST,72 534 822 931,"75,211","49,515","1,175,600",-
RECYCLE AND RESOURCE HOLDINGS LIMITED,20 649 347 302,"74,944","6,582","553,216",-
ENDEAVOUR GROUP LIMITED,77 159 767 843,"74,007","289,214","2,026,535",-
STRAIT LINK AUSTRALIA HOLDINGS PTY LTD,62 649 025 963,"73,704","8,401","1,068,170",-
LANCO RESOURCES AUSTRALIA PTY LTD,30 147 835 452,"72,441","3,814","988,227",-
GELITA AUSTRALIA PTY LTD,83 000 010 597,"72,318","13,036","1,257,408",-
BARRO GROUP PTY. LIMITED,005 105 724,"70,961","23,727","1,125,337",-
KNAUF GYPSUM PTY LTD,84 004 231 976,"70,036","31,872","1,508,943",-
NH FOODS AUSTRALIA PTY LTD,87 001 548 401,"69,853","42,449","784,090",-
ROMALY HOLDINGS PTY LTD,82 001 094 837,"69,624",401,"991,469",-
KARORA RESOURCES PTY LTD,74 633 381 218,"68,905","32,248","1,203,374",-
TEEKAY HOLDINGS AUSTRALIA PTY LTD,12 125 391 880,"68,490",67,"974,289",-
CONSOLIDATED MINERALS HOLDINGS (AUSTRALIA) PTY LIMITED,88 127 662 257,"66,070",48,"971,535",-
FORESTRY CORPORATION OF NEW SOUTH WALES,43 141 857 613,"65,504",890,"936,733",-
NOBLE DRILLING AUSTRALIA PTY LTD,55 106 414 108,"65,010",0,"410,472",-
ENSCO AUSTRALIA PTY LIMITED,79 100 601 634,"64,988",0,"927,527",-
SOUTH AUSTRALIAN WATER CORPORATION,69 336 525 019,"64,887","109,766","2,795,504",-
INGHAMS GROUP LIMITED,39 162 709 506,"63,131","131,449","1,729,230",-
ATCO GAS AUSTRALIA GP PTY LTD,76 151 245 779,"62,997",267,"30,718",-
AUSTRALIAN PANELS PTY LIMITED,31 003 246 357,"62,598","129,591","3,558,478",-
CITY OF KALGOORLIE-BOULDER,63 711 737 609,"62,139","4,255","59,188",-
NSW TRAINS,50 325 560 455,"61,535","132,836","1,580,803",-
BELLEVUE GOLD LIMITED,99 110 439 686,"61,322",32,"908,713",-
ACCIONA INFRASTRUCTURE ASIA PACIFIC PTY LTD,19 609 210 139,"61,024","19,580","976,978",-
CENTRAL PETROLEUM LIMITED,72 083 254 308,"60,753",107,"919,654",-
SHIYING AGRICULTURAL PRODUCTION PTY LTD,40 619 012 038,"60,533","18,090","331,966",-
BRISTOW HELICOPTERS AUSTRALIA PTY LTD.,92 000 565 579,"60,379",196,"1,069,568",-
WAGGA WAGGA CITY COUNCIL,56 044 159 537,"59,895",83,"6,070",-
SIMPLOT AUSTRALIA (HOLDINGS) PTY LIMITED,23 070 571 934,"59,452","24,305","1,345,848",-
IBERDROLA AUSTRALIA LIMITED,39 105 051 616,"59,369","7,767","985,223",-
AURENNE GROUP HOLDINGS PTY LTD,90 627 857 176,"58,538","20,086","1,140,744",-
FRIESIAN PTY LTD,33 625 545 995,"58,112",794,"845,746",-
SINGPOST AUSTRALIA INVESTMENTS PTY LTD,94 646 430 408,"57,843","4,781","852,803",-
BOOTH TRANSPORT PTY LTD,98 007 678 622,"57,611","1,886","829,310",-
SVITZER AUSTRALASIA HOLDINGS PTY LIMITED,16 120 555 302,"57,259","2,086","825,051",-
AERIS RESOURCES LIMITED,30 147 131 977,"56,351","93,362","1,350,857",-
CATALYST METALS LIMITED,54 118 912 495,"56,129","3,423","1,123,787",-
WATER CORPORATION,28 003 434 917,"55,966","487,582","3,766,583",-
ETEX HOLDING AUSTRALIA II PTY LTD,86 003 621 181,"55,737","14,423","1,159,505",-
MT CUTHBERT RESOURCES PTY LTD,56 140 474 693,"55,136",6,"787,502",-
FLETCHER BUILDING (AUSTRALIA) PTY LTD,11 093 539 452,"54,696","198,427","3,767,322",-
LMS ENERGY PTY LTD,39 059 428 474,"54,402",185,"6,481,321",-
RIDLEY CORPORATION LIMITED,33 006 708 765,"53,824","49,697","1,293,117",-
THE TRUSTEE FOR TAPCO UNIT TRUST,15 131 829 412,"53,439","2,199","770,297",-
ASAHI HOLDINGS (AUSTRALIA) PTY LTD,48 135 315 767,"53,367","106,584","1,636,720",-
CCCI AUSTRALIA PTY LTD,95 603 555 988,"53,068","49,620","1,018,343",-
VENTURA MOTORS PROPRIETARY LIMITED,67 004 235 518,"52,212","2,462","752,794",-
CRAIG MOSTYN HOLDINGS PTY LIMITED,14 008 398 356,"51,668","22,233","637,754",-
HUME CITY COUNCIL,14 854 354 856,"51,506","14,122","183,850",-
AIC MINES LIMITED,11 060 156 452,"51,250",15,"737,032",-
MINDARIE REGIONAL COUNCIL,17 015 003 687,"50,863",0,"15,062",-
GRINDING MEDIA PTY LTD,47 615 611 759,"49,937","70,258","1,278,813",-
SERVICE STREAM LIMITED,46 072 369 870,"49,744","3,881","736,780",-
TASMAN GLOBAL GROUP PTY LTD,672 682 094,"49,686",588,"706,926",-
ICON WATER LIMITED,86 069 381 960,"47,751","87,221","649,859",-
A B C TISSUE PRODUCTS PTY LTD,33 003 085 112,"47,159","74,344","1,291,914",-
GRAINCORP LIMITED,60 057 186 035,"46,618","59,745","1,111,946",-
THE TRUSTEE FOR AFF HOLDING TRUST,18 717 304 813,"46,249","32,934","843,970",-
MACKAY SUGAR LIMITED,12 057 463 671,"45,832","10,095","15,417,057",-
CEMENT AUSTRALIA PTY LIMITED,75 104 053 474,"44,710","35,120","863,494",-
PANTORO LIMITED,30 003 207 467,"42,103","21,679","752,068",-
LACTALIS AUSTRALIA PTY LTD,56 072 928 879,"40,972","85,887","1,214,743",-
CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY,86 673 835 011,"40,832","65,960","701,828",-
THOMAS FOODS INTERNATIONAL CONSOLIDATED PTY LIMITED,20 105 099 849,"40,260","31,832","881,737",-
NORTHERN CO-OPERATIVE MEAT COMPANY LIMITED,42 060 208 366,"39,226","18,776","257,731",-
AVENG AUSTRALIA HOLDINGS PTY LTD,33 108 058 331,"38,669","22,720","673,764",-
AQUACULTURE AUSTRALIA HOLDCO PTY LTD,57 660 056 440,"37,975","23,082","751,308",-
FLETCHER INTERNATIONAL GROUP PTY LTD,75 626 211 907,"37,768","24,244","614,205",-
THALES AUSTRALIA HOLDINGS PTY LTD,84 058 583 841,"36,540","35,408","564,868",-
MMG MANAGEMENT PTY LTD,33 115 312 680,"35,749","88,954","1,866,770",-
ALDI FOODS PTY LIMITED,18 086 210 139,"35,373","180,530","1,443,375",-
QUEENSLAND RAIL,68 598 268 528,"35,274","234,941","1,666,662",-
SYDNEY WATER CORPORATION,49 776 225 038,"35,142","263,982","2,525,531",-
ELECTRICITY NETWORKS CORPORATION,18 540 492 861,"34,415","630,385","4,793,950",-
BOC LIMITED,95 000 029 729,"34,158","269,754","2,491,852",-
EAGERS AUTOMOTIVE LIMITED,87 009 680 013,"33,110","25,545","759,441",-
TELSTRA GROUP LIMITED,56 650 620 303,"32,771","757,967","4,657,693",-
29METALS LIMITED,95 650 096 094,"31,754","112,247","1,257,681",-
RITCHIES STORES PROPRIETARY LIMITED,61 005 041 814,"30,802","51,347","263,779",-
SNACKING INVESTMENTS HOLDCO PTY LIMITED,64 634 908 482,"30,463","46,470","839,849",-
MCCAIN FOODS (AUST) PTY LTD,96 000 629 587,"30,298","39,900","1,188,431",-
MARS WRIGLEY AUSTRALIA HOLDINGS PTY LTD,68 133 509 930,"29,754","55,227","878,364",-
NESTLE AUSTRALIA LTD,77 000 011 316,"29,348","78,561","1,324,331",-
GLADSTONE PORTS CORPORATION LIMITED,96 263 788 242,"29,088","50,528","664,645",-
CSL LIMITED,99 051 588 348,"27,439","76,717","863,336",-
TRILITY GROUP PTY LTD,39 144 522 565,"27,392","38,720","412,876",-
SS SILVER PTY LTD,40 644 174 710,"27,003","106,288","1,004,016",-
DP WORLD AUSTRALIA (HOLDING) PTY LTD,58 147 892 715,"26,515","35,274","558,345",-
ESSENTIAL ENERGY,37 428 185 226,"26,515","510,922","2,964,646",-
RCI HOLDINGS PTY LTD,55 101 671 121,"26,391","62,999","821,156",-
MONDELEZ AUSTRALIA HOLDINGS PTY LTD,86 004 880 817,"26,025","40,462","802,459",-
ALBEMARLE LITHIUM PTY LTD,14 618 095 471,"24,835","35,416","660,488",-
DHL GLOBAL FORWARDING (AUSTRALIA) PTY LTD,62 002 636 124,"24,690","29,424","510,647",-
LION PTY LTD,50 128 004 268,"24,551","35,630","624,209",-
VICTORIA POWER NETWORKS PTY LTD,37 116 940 820,"24,007","776,098","3,822,972",-
